y true,y pred
0.3,1.4288215285449235
0.97,2.965015850130182
0.38,1.4571174212774456
0.05,1.2292637331456167
3.7,2.317121896130035
0.12,1.7855399787597808
0.5,2.027351697963028
0.23,1.0888357648186098
0.9,0.46122650035539037
2.0,1.2593144651728019
0.965,2.353137466346185
0.23,1.8334903277447956
3.2,3.0933328161116362
3.02,2.8905549701135893
2.512,1.9301641861630494
0.27,0.9053093173324389
0.31,0.7018780548516244
1.67,2.2589591431524454
2.12,2.165017726869761
0.65,1.7091175200246271
0.5,1.4660263818755168
0.75,1.8143426333735186
0.4,1.1566453647597101
1.8,0.8854036814519572
1.0,1.706100995159857
4.9,2.2174405577000273
5.9,5.295188486794364
0.66,3.0822122477987897
0.66,1.5550765575111103
1.154,1.444497406050223
1.8,1.7540010605398089
1.3,1.5098835455628317
0.55,0.49721361160030364
0.2,2.00407746624472
0.8,0.687464796441811
0.75,1.2953015764177152
0.11,0.29584769473530814
7.2,3.8375040197182675
8.29,4.618263250126972
5.83,3.5970874528506265
1.0,2.6365262153693143
2.3,2.4496956025702317
0.99,0.7084079879494851
0.12,1.2154320347045764
1.5,1.964316141480837
0.8,1.6363207445476258
0.8,0.9755086756625118
1.8,1.773596640479923
0.3,0.7741427587975167
1.0,1.115899371866114
0.25,0.8446576885583621
3.82,2.5109751363695225
0.1,1.011794313845913
0.009,1.1311036195884223
2.22,3.265002120829582
1.9,1.6483798087136794
3.31,2.5492011082043833
1.7,1.9113028073600788
0.3,1.0752577506306733
2.6,2.9309234877135553
2.0,2.5214775126872873
1.7266666666666666,1.5244292334488092
1.87,1.4227136022084022
1.12,2.2849653035814463
2.53,2.3386332361767233
1.89,2.3304134120912723
1.72,1.777941256826355
0.59,1.574227455622876
2.015,1.5066995735186026
1.98,1.5845261465248868
5.0,2.879051357685292
4.9,2.2051040566767317
1.09,2.182570380179712
0.22,2.2614892151913804
0.46,1.7682162637310235
0.62,1.5647850012502094
1.17,2.9492847002713134
2.3,1.7194588576745806
0.075,0.8634896076643055
3.4,3.2857662182610485
3.9,4.326778525472655
2.38,3.385555033392172
1.08,1.687232372016914
2.475,1.9618132934677834
1.5,1.3041160248539745
0.18,0.990528158075743
4.76,2.69443309992203
4.42,2.2011601484616734
3.73,1.9977288859808588
0.1,1.7287912349506724
4.6,2.5999345313965856
2.3,1.7445196651880743
0.5,3.0050208832236565
0.332,1.1175667084871805
4.625,2.6684154695275004
3.15,3.1633281539124076
1.24,2.4545522640854025
0.9,2.468657982156433
0.69,1.7968549954715936
0.3,2.4432676896285788
3.05,2.3783811826483294
3.56,3.159140413057034
3.58,2.5584263841316917
0.73,0.8921435375930238
1.825,2.2484265193609136
0.7,0.7744831617872037
1.18,1.5136630806359492
1.5,1.3827456999427103
0.65,2.9651823844319916
0.1,2.8433910670963836
0.66,2.9651823844319916
2.34,3.052176182528854
2.8,2.5637242416409904
1.1,1.5181434419909723
1.35,0.8604461733771633
0.05,0.5892044900694104
1.9,2.8612830057604897
5.6,3.1036634279691393
1.02,1.779394314885144
1.0,1.628369877236398
0.9,1.3060200109029676
3.35,2.4322563127660604
1.9275,1.998882862371487
3.87,1.9006743953958067
0.745,1.1510839841340017
1.15,1.7154791791917283
4.99,3.0254825472152715
2.17,2.3652737771335803
1.25,1.6253643499430455
0.2,2.3396620173468228
0.6,2.1602354340988765
